,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
22997,Xiamen Airlines,8,Xiamen Airlines customer review,2nd December 2013,False,Flew PEK-FOC and back. Took the early morning flight which are always on time. Served a biscuit and some snacks for breakfast. Only problem was that the entertainment was in English only. Tickets were cheap and cabin crew were ok. I would choose this airline over China Southern or Eastern.,,,Economy Class,,,4.0,4.0,4.0,,3.0,,4.0,yes
22398,Volaris,1,"""overbooked and sold my seat""",13th March 2022,False,"  I bought a ticket 24 hours before traveling with assigned seats. I go to the airport and found out they overbooked and sold my seat. Their comment: ""You should have checked in 48 hours in anticipation"". What solution they gave me: A flight 3 hours later to a little town 5 hours driving to my final destiny. Oh and because they are nice, they were willing to give me $75 bucks for my flight that caused approx. $230. They lied to me. The Agent told me they processed a refund. I called hours later and no refund . And i couldn't process the refund being on the line. I have to fill out a form because that's the way they handle things. Please, make yourself a favor and don't travel with this airline.",,Couple Leisure,Economy Class,Mexico City to Oaxaca,March 2022,,,,1.0,,,1.0,no
21234,Turkish Airlines,1,"""rude and irresponsible""",7th February 2023,True, I regret that I chose this airlines. Their employees so rude and irresponsible. They have no respect for customers and treating customers very bad. I will never travel with them again.,,Solo Leisure,Economy Class,Amsterdam to Istanbul,February 2023,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
2339,Air Memphis,7,Air Memphis customer review,30th April 2012,False,We booked a day trip to Luxor from Sharm and flew Air Memphis. Aircraft was an old MD83 which was tired looking inside and out but clean. Friendly cabin crew juice and a snack were served. Don't let appearances put you off.,,,Economy Class,,,,,,,,,4.0,yes
19960,Thai AirAsia,8,"""Uneventful flight""",20th July 2019,True,"  Bangkok to Udon Thani. Uneventful flight, I like that. Check in was very easy and pleasant at Don Mueang airport, not many passengers on plane, flight left BKK early, and arrived in Udon Thani 25 minutes prior to scheduled arrival, fantastic!",,Solo Leisure,Economy Class,Bangkok to Udon Thani,July 2019,3.0,4.0,,4.0,,,3.0,yes
20806,Transaero Airlines,1,Transaero Airlines customer review,26th October 2011,False,DME (Moscow) to LHR. Good check-in staff but from there things were not up to scratch. Inflight announcements indecipherable cabin crew unfriendly and food and service definitely not up to international standards. Needs significant improvement.,,,Premium Economy,,,,,,,,,1.0,no
5607,Blue Air,1,"""Avoid it by all means""",23rd August 2022,True,"  Completely unprofessional.  They refuse to give the money back and offer no choice but accepting their lousy vouchers only to keep cancelling the flights. Briefly, they receive money from the customers and ""transform"" it into virtual money that you never get the chance to use because they keep cancelling.  Avoid it by all means.",,Family Leisure,Economy Class,Oslo to Bucharest ,August 2022,,,,,,,1.0,no
17502,SATA Air Azores,3,"""No refunds, just a credit"" ",27th April 2022,True," The customer service is just out of this world - so rude! I called them 3 times to make changes or just check on my options. They treat me as they are doing me a favor, what happened to a normal polite conversation? The last lady was annoyed with me as I was checking on options to cancel my flight. Do not use them unless absolutely necessary. No refunds, just a credit but can only be used for the ticket that cost the same or more. My new ticket was $100+ less and they wont do it.",,Couple Leisure,Economy Class,Boston to Ponta Delgado ,July 2021,,,,,,,1.0,no
8021,Delta Air Lines,1,"""Worst treatment ever""",21st May 2023,False,  Worst treatment ever. Had to go through 48h hours of travel due to unprofessional and unhelpful behavior of the staff. I literally saw my connecting flight (the second one I tried to catch that day) leave before my eyes because they were unable to solve a problem regarding my ticket. The only thing they would hand me out was a stupid 15 dollar food voucher. Had a 14 hour and a 10 hour layover at two different airports. Catastrophic.,,Solo Leisure,Economy Class,México City to Munich,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no
5354,Bangkok Airways,8,"""friendly all the way""",31st October 2019,True,"  Bangkok to Vientiane. Great staff friendly all the way and easy website to use. Nice food, leg room a bit short for someone's height of 182cm. Will be sure to use again.",,Solo Leisure,Economy Class,Bangkok to Vientiane,October 2019,3.0,4.0,5.0,4.0,,,3.0,yes
15147,Nordica,7,"""legroom is more than okay""",6th December 2017,True,"  Warsaw to Tallinn. Our flight was in code-share with LOT Polish Airlines. Between our arrival and departure there were 55 minutes (gate opens 30 mins before departure), the ground crew worked very well so we could catch our Nordica flight to Tallinn with ease. The seats are comfortable, the legroom is more than okay. Bigger meals and drinks are available on purchase but they serve complementary drinks (coffee, tea, water) and snacks (chocolate bar). The cabin crew was kind and the cabin was clean.",Bombardier CRJ-900,Solo Leisure,Economy Class,Warsaw to Tallinn,September 2017,5.0,4.0,2.0,5.0,,,3.0,yes
12433,Jetstar Asia,1,"""a small bag they would weigh""",16th October 2019,False, Manila to Singapore. Singapore to the Philippines my hand-carry baggage weighed 6.4kg which is in line of the 7kg baggage allowance rule. Personal bag is never ever been included. I’ve heard rumours of now even personal bag and laptop bag they will aim to get money from the passengers. They will even hold your boarding pass until you pay for it. I thought it was just a rumour until it happened to me. I'm flying back to Singapore and while at the counter they ask to weighed my hand-carry bag even my personal bag. I’ve always taken the same flight and same bag but its the first time this happened to me. Even a small bag they would weigh just to get money.,,Solo Leisure,Economy Class,Manila to Singapore,October 2019,1.0,1.0,1.0,1.0,,,1.0,no
8845,Ethiopian Airlines,3,"""choose another airline""",20th January 2023,True,"  We flew from Chicago to Nairobi and our suitcase was damaged with tears and a broken handle. They are refusing to take responsibility even though I showed someone at the Nairobi airport. I then called customer service when we returned to Chicago and was told to go to the O’Hare ticket counter. I did go to O’Hare with the damaged bag and spoke to the manager. He took all my information and said someone from the Nairobi office will be emailing me. It’s been 2 weeks and no one has contacted me. I have sent several emails and keep getting the run around. Also, my kids did not get children meals during our 2 flights to Nairobi. I had requested that over 6 months prior. Please choose another airline when flying to Africa!",,Family Leisure,Economy Class,Nairobi to Chicago via Addis Ababa / Dublin,December 2022,2.0,3.0,2.0,1.0,3.0,1.0,2.0,no
20971,TUI Airways,8,"""efficient staff and service""",4th October 2019,False," Flew LGW to Naples to join cruise ship and vice versa. Very impressed with the efficient staff and service on board. Cabin crew and flight deck crew all informative and pleasant. Plenty of room on the Dreamliner, very quiet on take off compared to the average plane. Staff apologetic about the chaos at Naples airport seems it is quite usual! All in all a good experience with this airline.",Boeing 787-8,Couple Leisure,Economy Class,London to Naples ,October 2019,4.0,5.0,4.0,4.0,4.0,3.0,4.0,yes
22549,Vueling Airlines,1,"""I will never fly with Vueling again""",16th March 2023,True,"  The worst service! The most embarrassing airline in the world! We paid €478 each for a flight from Bilbao to Milan with €140 of luggage each and for not dispatching it, they made us pay €120 more one way! They did not give us the receipt because the machine was not working. I will never fly with Vueling again on principle.  El peor servicio! La aerolínea mas vergonzosa del mundo! Pagamos 478€ cada uno por un vuelo de Bilbao a Milan con 140€ de equipaje cada uno y por no despacharlo, nos hicieron pagar 120€ mas solo de ida! No nos dieron el recibo porque la máquina no funcionaba. Nunca mas volare con Vueling por principio. ",,Business,Economy Class,Bilbao to Milan via Barcelona,March 2023,4.0,4.0,3.0,1.0,1.0,1.0,1.0,no
18250,Singapore Airlines,1,"""cabin crew truly went above and beyond""",11th May 2023,True," Despite some allegations of cost-cutting measures surfacing across the internet and social media, Singapore Airlines is still unequivocally and undeniably the best in its class. In an era of self-check in kiosks and self-serve apps, the human touch it provides to all its passengers is remarkably special and the warmth and comfort of the human element is something that is irreplaceable by technology. The cabin crew truly went above and beyond to ensure that the passengers were well looked after. In addition to that, every other aspect of the flight from the checking-in process, lounge, boarding arrangements, punctuality, cabin announcements, seat comfort and functionality, meal service, inflight WiFi and timing and baggage delivery was also seamless and flawless. Flying in Singapore Airlines on a premium cabin is truly and quite literally a heavenly experience at 40,000ft in the sky.",A350-900,Couple Leisure,Business Class,Istanbul to Singapore,May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes
7196,CityJet,1,"""avoid this airline at all costs""",28th June 2016,False,"  Booked tickets to Japan using Cityjet from London to Amsterdam. Terrible mistake. First flight to Amsterdam was delayed so much we missed our KLM connecting flight to Tokyo. I'm writing this now at Amsterdam airport waiting for cityjet to arrive, as it is late once again, with no info whatsoever. Probably their old planes broke down again. Avoid this airline at all costs. ",,Couple Leisure,Economy Class,LCY to AMS,June 2016,1.0,1.0,,1.0,1.0,,1.0,no
22433,Volotea,8,"""Quality low cost company""",25th May 2023,True,"  Quality low cost company, traveler taken into consideration, comfortable seats sufficient for large sizes, multilingual and pleasant on-board staff. Compagnie Low cost de qualité, voyageur pris en considération, sièges confortables places suffisantes pour les grandes tailles, personnel de bord multilingue et agréable",,Couple Leisure,Economy Class,Alicante to Luxembourg,May 2023,4.0,5.0,4.0,5.0,,,5.0,yes
10626,GoAir,2,"""not allow 2 kg extra baggage""",23rd February 2020,False,"  Delhi to Pune. The guy at the luggage counter was very rude, he did not allow 2 kg extra baggage and said we will have to pay. I made a mistake this time by choosing Goair as they are not at all customer centric.",,Couple Leisure,Economy Class,Delhi to Pune,February 2020,2.0,3.0,,1.0,,,2.0,no
